Order ID,Order Date,Region,Sales
ORD101488,2024-01-01,Africa,3971.33
ORD101409,2024-01-02,Europe,6044.86
ORD101482,2024-01-02,Europe,4387.68
ORD101949,2024-01-02,Australia,4197.03
ORD101996,2024-01-02,Asia,6100.83
ORD101622,2024-01-03,Australia,5844.89
ORD101739,2024-01-03,South America,3150.31
ORD101913,2024-01-03,Asia,5345.28
ORD100381,2024-01-04,Asia,4466.42
ORD100773,2024-01-04,Asia,4020.52
ORD100846,2024-01-04,Asia,4214.31
ORD100901,2024-01-04,Asia,3367.17
ORD101237,2024-01-04,North America,5933.31
ORD101294,2024-01-04,Europe,5111.64
ORD101550,2024-01-04,Europe,5155.2
ORD100465,2024-01-05,South America,3337.69
ORD100845,2024-01-05,North America,5869.61
ORD100104,2024-01-06,Africa,3116.85
ORD100575,2024-01-06,North America,5851.87
ORD100707,2024-01-06,North America,3240.13
ORD101190,2024-01-06,Australia,2808.02
ORD101279,2024-01-06,Africa,3252.52
ORD101175,2024-01-07,Europe,6244.09
ORD101532,2024-01-07,Asia,5487.35
ORD101807,2024-01-07,Europe,4538.49
ORD100303,2024-01-08,South America,4150.16
ORD101070,2024-01-08,Asia,4629.08
ORD101763,2024-01-08,North America,5725.62
ORD100790,2024-01-09,North America,6561.52
ORD100801,2024-01-09,Asia,3848.75
ORD101682,2024-01-10,Africa,2537.31
ORD100410,2024-01-11,South America,5301.05
ORD100839,2024-01-11,South America,2245.35
ORD101038,2024-01-11,North America,2923.25
ORD101121,2024-01-11,Europe,3902.42
ORD100889,2024-01-12,Africa,4034.86
ORD101366,2024-01-13,South America,5290.99
ORD101624,2024-01-13,Australia,4292.8
ORD100415,2024-01-14,North America,5458.57
ORD100478,2024-01-14,Australia,1502.86
ORD101594,2024-01-14,North America,4856.12
ORD101652,2024-01-14,Europe,4219.76
ORD100233,2024-01-15,North America,5695.68
ORD100300,2024-01-16,Europe,3215.03
ORD100540,2024-01-16,Asia,5619.01
ORD101529,2024-01-16,Africa,2955.17
ORD100170,2024-01-17,North America,6337.4
ORD100272,2024-01-17,Europe,5152.51
ORD100369,2024-01-17,North America,8201.98
ORD101167,2024-01-17,Africa,2815.48
ORD101744,2024-01-17,South America,3985.11
ORD100821,2024-01-18,Australia,4727.49
ORD101783,2024-01-18,Asia,6270.26
ORD100429,2024-01-19,South America,1322.71
ORD100454,2024-01-19,Australia,3874.42
ORD101180,2024-01-19,Australia,3198.08
ORD101399,2024-01-19,North America,3464.62
ORD100830,2024-01-22,Asia,4664.87
ORD101300,2024-01-22,South America,2631.32
ORD101493,2024-01-22,North America,6259.29
ORD101590,2024-01-22,Europe,4422.41
ORD101944,2024-01-22,North America,6564.23
ORD100138,2024-01-23,Europe,5706.45
ORD101536,2024-01-23,Asia,7221.71
ORD101869,2024-01-23,Australia,4492.6
ORD100385,2024-01-24,Australia,3168.37
ORD100787,2024-01-24,Europe,4961.74
ORD100147,2024-01-26,South America,4656.41
ORD100663,2024-01-26,South America,6112.68
ORD101683,2024-01-26,North America,7615.35
ORD100844,2024-01-27,Australia,2910.18
ORD100970,2024-01-27,Asia,2467.13
ORD101446,2024-01-27,Asia,3731.18
ORD101909,2024-01-27,Australia,2804.97
ORD100117,2024-01-28,North America,7272.7
ORD100328,2024-01-28,Asia,4429.37
ORD101266,2024-01-28,North America,2228.51
ORD100870,2024-01-30,Africa,2814.65
ORD101240,2024-01-30,Asia,4388.68
ORD100250,2024-01-31,Australia,3122.44
ORD100902,2024-01-31,North America,7283.68
ORD101019,2024-01-31,Asia,7170.17
ORD101099,2024-01-31,North America,4527.85
ORD101452,2024-01-31,South America,4328.05
ORD100562,2024-02-01,Asia,6034.74
ORD100817,2024-02-01,South America,4909.74
ORD101871,2024-02-01,Asia,5472.69
ORD100056,2024-02-02,South America,3823.76
ORD100352,2024-02-02,Africa,2377.97
ORD100397,2024-02-02,Asia,3985.44
ORD100811,2024-02-02,North America,6119.91
ORD101110,2024-02-02,North America,5154.35
ORD101806,2024-02-03,Europe,5647.48
ORD101463,2024-02-04,North America,5564.43
ORD101526,2024-02-04,North America,4361.7
ORD101781,2024-02-04,North America,3914.55
ORD101270,2024-02-05,Africa,3454.11
ORD101286,2024-02-05,North America,7703.02
ORD101518,2024-02-05,North America,4080.86
ORD100574,2024-02-06,Africa,2847.77
ORD100699,2024-02-06,Australia,5200.14
ORD101642,2024-02-06,South America,4652.85
ORD101976,2024-02-06,Africa,2569.08
ORD100584,2024-02-07,Europe,5175.04
ORD100848,2024-02-07,Asia,4751.63
ORD101453,2024-02-07,Asia,3841.96
ORD101464,2024-02-07,Asia,4379.44
