Order ID,Order Date,Region,Sales,Promotion Active,Discount
ORD0001,2025-04-13,North,703.72,False,0.0
ORD0002,2026-03-12,West,702.9,False,0.0
ORD0003,2025-09-28,West,753.64,False,0.0
ORD0004,2025-04-17,North,522.77,False,0.0
ORD0005,2025-03-13,South,522.48,False,0.0
ORD0006,2025-01-21,West,772.61,False,0.0
ORD0007,2025-05-02,West,546.83,False,0.0
ORD0008,2026-04-12,South,786.3,False,0.0
ORD0009,2025-08-03,East,567.38,False,0.0
ORD0010,2025-11-27,South,542.39,False,0.0
ORD0011,2026-04-04,East,500.07,True,5.0
ORD0012,2025-03-29,West,618.12,True,25.0
ORD0013,2026-01-08,West,843.8,False,0.0
ORD0014,2025-04-10,West,678.45,False,0.0
ORD0015,2025-05-11,South,978.33,False,0.0
ORD0016,2025-11-05,South,740.11,False,0.0
ORD0017,2025-12-10,North,489.96,False,0.0
ORD0018,2026-05-07,South,914.57,False,0.0
ORD0019,2026-02-18,North,539.95,False,0.0
ORD0020,2026-01-21,East,676.89,True,15.0
ORD0021,2025-07-11,East,483.35,False,0.0
ORD0022,2025-10-04,North,592.15,False,0.0
ORD0023,2025-06-10,North,759.93,True,25.0
ORD0024,2026-04-05,East,870.12,True,5.0
ORD0025,2025-11-10,North,560.67,True,20.0
ORD0026,2025-01-22,South,729.83,True,10.0
ORD0027,2025-09-10,South,601.55,False,0.0
ORD0028,2026-07-15,East,656.55,False,0.0
ORD0029,2026-04-20,North,583.29,False,0.0
ORD0030,2025-02-28,South,610.11,False,0.0
ORD0031,2026-05-26,East,745.59,False,0.0
ORD0032,2026-04-21,South,650.96,False,0.0
ORD0033,2025-07-09,East,532.09,False,0.0
ORD0034,2026-07-17,North,721.94,False,0.0
ORD0035,2026-07-21,North,765.33,False,0.0
ORD0036,2025-09-01,North,412.46,False,0.0
ORD0037,2026-05-20,South,650.49,False,0.0
ORD0038,2025-05-11,West,787.13,False,0.0
ORD0039,2026-04-30,North,791.9,False,0.0
ORD0040,2025-01-21,South,610.23,True,10.0
ORD0041,2025-06-16,East,406.39,False,0.0
ORD0042,2025-10-01,West,559.18,False,0.0
ORD0043,2026-01-23,West,626.01,False,0.0
ORD0044,2025-11-12,East,599.68,True,5.0
ORD0045,2025-01-14,South,499.51,True,10.0
ORD0046,2025-08-30,South,616.78,False,0.0
ORD0047,2025-12-12,West,768.91,False,0.0
ORD0048,2026-07-19,East,694.99,False,0.0
ORD0049,2025-12-06,East,512.08,False,0.0
ORD0050,2025-04-02,South,800.31,False,0.0
ORD0051,2026-01-02,North,741.82,False,0.0
ORD0052,2026-03-31,North,783.9,True,5.0
ORD0053,2026-03-04,East,723.48,False,0.0
ORD0054,2026-05-24,West,801.55,False,0.0
ORD0055,2025-02-04,West,735.81,False,0.0
ORD0056,2025-07-25,West,613.19,False,0.0
ORD0057,2025-03-22,South,558.32,True,5.0
ORD0058,2026-07-16,North,759.28,False,0.0
ORD0059,2026-01-23,North,576.1,True,10.0
ORD0060,2025-01-02,East,568.83,True,15.0
ORD0061,2026-01-25,North,740.55,True,10.0
ORD0062,2026-07-20,West,529.33,False,0.0
ORD0063,2025-04-16,South,832.4,False,0.0
ORD0064,2026-04-22,East,728.65,False,0.0
ORD0065,2026-02-06,North,794.9,False,0.0
ORD0066,2026-07-10,West,783.66,False,0.0
ORD0067,2025-06-11,West,789.98,True,20.0
ORD0068,2025-07-21,South,595.41,False,0.0
ORD0069,2025-09-27,South,731.99,False,0.0
ORD0070,2025-09-28,West,626.46,False,0.0
