Region,Quarter_Start,Quarter,Year,Category,Sales_Amount,Category_Rank_in_Region,Previous_Quarter_Sales,Quarter_Sales_Change,Quarter_Sales_Growth_Percent,Running_Total_Sales
East,2023-01-01,2023Q1,2023,Furniture,133786.33000000002,2.0,,,,133786.33000000002
East,2023-01-01,2023Q1,2023,Office Supplies,6299.97,3.0,,,,6299.97
East,2023-01-01,2023Q1,2023,Technology,1051216.0325,1.0,,,,1051216.0325
East,2023-04-01,2023Q2,2023,Furniture,148403.27,2.0,133786.33000000002,14616.939999999973,10.925585596076948,282189.6
East,2023-04-01,2023Q2,2023,Office Supplies,3534.95,3.0,6299.97,-2765.0200000000004,-43.88941534642229,9834.92
East,2023-04-01,2023Q2,2023,Technology,614128.9775,1.0,1051216.0325,-437087.05499999993,-41.57918462873138,1665345.01
East,2023-07-01,2023Q3,2023,Furniture,189078.54,2.0,148403.27,40675.27000000002,27.40860764051899,471268.14
East,2023-07-01,2023Q3,2023,Technology,521510.25,1.0,614128.9775,-92618.72750000004,-15.08131530888396,2186855.26
East,2023-10-01,2023Q4,2023,Furniture,83669.48999999999,2.0,189078.54,-105409.05000000002,-55.74881739619949,554937.63
East,2023-10-01,2023Q4,2023,Office Supplies,5639.85,3.0,3534.95,2104.9000000000005,59.545396681706976,15474.77
East,2023-10-01,2023Q4,2023,Technology,419485.45,1.0,521510.25,-102024.79999999999,-19.563335524086053,2606340.71
East,2024-01-01,2024Q1,2024,Furniture,290921.73,2.0,83669.48999999999,207252.24,247.70348187851988,845859.36
East,2024-01-01,2024Q1,2024,Office Supplies,5208.1,3.0,5639.85,-431.75,-7.655345443584492,20682.870000000003
East,2024-01-01,2024Q1,2024,Technology,938491.3725,1.0,419485.45,519005.92250000004,123.72441582896381,3544832.0825
East,2024-04-01,2024Q2,2024,Furniture,65808.44,2.0,290921.73,-225113.28999999998,-77.37933154735468,911667.8
East,2024-04-01,2024Q2,2024,Office Supplies,4633.26,3.0,5208.1,-574.8400000000001,-11.03742247652695,25316.13
