Region,Quarter_Start,Quarter,Sales_Amount,Previous_Quarter_Sales,Sales_Change,Running_Total
East,2023-01-01,2023Q1,1191302.3325,,,1191302.3325
East,2023-04-01,2023Q2,766067.1975,1191302.3325,-425235.135,1957369.53
East,2023-07-01,2023Q3,710588.79,766067.1975,-55478.40749999997,2667958.3200000003
East,2023-10-01,2023Q4,508794.79000000004,710588.79,-201794.0,3176753.1100000003
East,2024-01-01,2024Q1,1234621.2025000001,508794.79000000004,725826.4125000001,4411374.3125
East,2024-04-01,2024Q2,387584.28,1234621.2025000001,-847036.9225000001,4798958.5925
East,2024-07-01,2024Q3,1046978.4875,387584.28,659394.2075,5845937.08
East,2024-10-01,2024Q4,749787.3375,1046978.4875,-297191.15,6595724.4175
East,2025-01-01,2025Q1,1384854.475,749787.3375,635067.1375000001,7980578.8925
East,2025-04-01,2025Q2,826644.375,1384854.475,-558210.1000000001,8807223.2675
East,2025-07-01,2025Q3,792791.1675,826644.375,-33853.20750000002,9600014.435
East,2025-10-01,2025Q4,839340.7375,792791.1675,46549.570000000065,10439355.172500001
North,2023-01-01,2023Q1,1584354.4425000001,,,1584354.4425000001
North,2023-04-01,2023Q2,1132253.995,1584354.4425000001,-452100.4475,2716608.4375
North,2023-07-01,2023Q3,1005505.68,1132253.995,-126748.31500000006,3722114.1175
North,2023-10-01,2023Q4,1638959.0975,1005505.68,633453.4174999999,5361073.215
North,2024-01-01,2024Q1,803878.3200000001,1638959.0975,-835080.7774999999,6164951.535
North,2024-04-01,2024Q2,975677.2275,803878.3200000001,171798.90749999997,7140628.7625
North,2024-07-01,2024Q3,1243293.1525,975677.2275,267615.92500000005,8383921.915000001
North,2024-10-01,2024Q4,1341599.855,1243293.1525,98306.7024999999,9725521.77
North,2025-01-01,2025Q1,928002.2775,1341599.855,-413597.5775,10653524.047500001
North,2025-04-01,2025Q2,1184324.9075,928002.2775,256322.63,11837848.955
North,2025-07-01,2025Q3,809451.77,1184324.9075,-374873.13749999995,12647300.725000001
North,2025-10-01,2025Q4,1247814.295,809451.77,438362.5249999999,13895115.02
South,2023-01-01,2023Q1,1315490.2025,,,1315490.2025
South,2023-04-01,2023Q2,1296415.0975,1315490.2025,-19075.10499999998,2611905.3
South,2023-07-01,2023Q3,1005576.9650000001,1296415.0975,-290838.13249999983,3617482.2649999997
South,2023-10-01,2023Q4,1774442.8275,1005576.9650000001,768865.8624999998,5391925.092499999
South,2024-01-01,2024Q1,1159005.7475,1774442.8275,-615437.0799999998,6550930.84
South,2024-04-01,2024Q2,2013553.2225000001,1159005.7475,854547.4750000001,8564484.0625
South,2024-07-01,2024Q3,828552.71,2013553.2225000001,-1185000.5125000002,9393036.7725
South,2024-10-01,2024Q4,1110734.8025,828552.71,282182.0925,10503771.575
South,2025-01-01,2025Q1,1271373.955,1110734.8025,160639.15250000008,11775145.53
South,2025-04-01,2025Q2,720418.74,1271373.955,-550955.2150000001,12495564.27
South,2025-07-01,2025Q3,1462941.415,720418.74,742522.675,13958505.685
South,2025-10-01,2025Q4,1133962.1300000001,1462941.415,-328979.2849999999,15092467.815
West,2023-01-01,2023Q1,1082362.075,,,1082362.075
West,2023-04-01,2023Q2,909124.9199999999,1082362.075,-173237.15500000003,1991486.9949999999
West,2023-07-01,2023Q3,1700694.8425,909124.9199999999,791569.9225000001,3692181.8375
West,2023-10-01,2023Q4,1449622.0725,1700694.8425,-251072.77000000002,5141803.91
West,2024-01-01,2024Q1,1004333.8975,1449622.0725,-445288.17500000005,6146137.8075
West,2024-04-01,2024Q2,959647.9199999999,1004333.8975,-44685.97750000004,7105785.7275
West,2024-07-01,2024Q3,1787636.455,959647.9199999999,827988.5350000001,8893422.1825
West,2024-10-01,2024Q4,465540.44,1787636.455,-1322096.0150000001,9358962.6225
West,2025-01-01,2025Q1,833373.75,465540.44,367833.31,10192336.3725
West,2025-04-01,2025Q2,1085829.2575,833373.75,252455.50750000007,11278165.629999999
West,2025-07-01,2025Q3,1576017.3325,1085829.2575,490188.07499999995,12854182.9625
West,2025-10-01,2025Q4,1376321.09,1576017.3325,-199696.24249999993,14230504.0525
