Order_ID,Order_Date,Region_ID,Region,State,City,Product_ID,Category,Product,Quantity,Sales_Amount,Year,Quarter,Quarter_Start
ORD0244,2023-01-02,R01,North,Delhi,New Delhi,P012,Office Supplies,File Folder,3.0,196786.1675,2023,2023Q1,2023-01-01
ORD0843,2023-01-03,R01,North,Haryana,Gurugram,P006,Technology,Printer,7.0,81037.86,2023,2023Q1,2023-01-01
ORD0113,2023-01-05,R01,North,Delhi,New Delhi,P008,Furniture,Office Desk,1.0,16187.83,2023,2023Q1,2023-01-01
ORD0901,2023-01-05,R02,South,Karnataka,Bengaluru,P002,Technology,Smartphone,4.0,116844.19,2023,2023Q1,2023-01-01
ORD0048,2023-01-06,R04,West,Gujarat,Ahmedabad,P004,Technology,Monitor,7.0,115276.52,2023,2023Q1,2023-01-01
ORD0097,2023-01-06,R02,South,Kerala,Kochi,P012,Office Supplies,File Folder,6.0,1317.8,2023,2023Q1,2023-01-01
ORD0106,2023-01-06,R03,East,Jharkhand,Ranchi,P001,Technology,Laptop,1.0,53314.84,2023,2023Q1,2023-01-01
ORD0155,2023-01-06,R04,West,Rajasthan,Jaipur,P005,Technology,Keyboard,1.0,2454.32,2023,2023Q1,2023-01-01
ORD0349,2023-01-06,R01,North,Haryana,Gurugram,P001,Technology,Laptop,6.0,196786.1675,2023,2023Q1,2023-01-01
ORD0779,2023-01-06,R03,East,Bihar,Patna,P008,Furniture,Office Desk,4.0,54243.01,2023,2023Q1,2023-01-01
ORD0611,2023-01-08,R04,West,Gujarat,Ahmedabad,P002,Technology,Smartphone,2.0,61609.54,2023,2023Q1,2023-01-01
ORD0999,2023-01-09,R01,North,Uttar Pradesh,Lucknow,P004,Technology,Monitor,2.0,29477.44,2023,2023Q1,2023-01-01
ORD0466,2023-01-10,R03,East,Jharkhand,Ranchi,P012,Office Supplies,File Folder,7.0,1152.02,2023,2023Q1,2023-01-01
ORD0940,2023-01-14,R02,South,Karnataka,Bengaluru,P004,Technology,Monitor,7.0,115354.29,2023,2023Q1,2023-01-01
ORD0948,2023-01-15,R02,South,Kerala,Kochi,P009,Furniture,Bookshelf,2.0,14960.32,2023,2023Q1,2023-01-01
ORD0515,2023-01-21,R04,West,Gujarat,Ahmedabad,P006,Technology,Printer,1.0,12303.61,2023,2023Q1,2023-01-01
ORD0862,2023-01-23,R04,West,Maharashtra,Mumbai,P005,Technology,Keyboard,5.0,14396.94,2023,2023Q1,2023-01-01
ORD0703,2023-01-24,R01,North,Uttar Pradesh,Lucknow,P002,Technology,Smartphone,1.0,31190.74,2023,2023Q1,2023-01-01
ORD0476,2023-01-25,R03,East,Jharkhand,Ranchi,P001,Technology,Laptop,6.0,196786.1675,2023,2023Q1,2023-01-01
ORD0414,2023-01-26,R02,South,Karnataka,Bengaluru,P002,Technology,Smartphone,7.0,196786.1675,2023,2023Q1,2023-01-01
ORD0103,2023-01-27,R01,North,Punjab,Ludhiana,P012,Office Supplies,File Folder,5.0,957.5,2023,2023Q1,2023-01-01
ORD0283,2023-01-27,R03,East,West Bengal,Kolkata,P012,Office Supplies,File Folder,7.0,1149.45,2023,2023Q1,2023-01-01
ORD0054,2023-01-28,R01,North,Uttar Pradesh,Lucknow,P010,Office Supplies,Notebook,6.0,2276.04,2023,2023Q1,2023-01-01
ORD0500,2023-01-28,R02,South,Kerala,Kochi,P005,Technology,Keyboard,6.0,16737.86,2023,2023Q1,2023-01-01
ORD0676,2023-01-28,R03,East,Bihar,Patna,P007,Furniture,Office Chair,3.0,26212.54,2023,2023Q1,2023-01-01
ORD0309,2023-01-30,R01,North,Haryana,Gurugram,P009,Furniture,Bookshelf,2.0,13163.51,2023,2023Q1,2023-01-01
ORD0581,2023-01-30,R01,North,Uttar Pradesh,Lucknow,P001,Technology,Laptop,3.0,182522.77,2023,2023Q1,2023-01-01
ORD0936,2023-01-30,R01,North,Haryana,Gurugram,P003,Technology,Tablet,6.0,136305.02,2023,2023Q1,2023-01-01
ORD0187,2023-02-02,R02,South,Karnataka,Bengaluru,P006,Technology,Printer,3.0,41039.29,2023,2023Q1,2023-01-01
ORD0679,2023-02-02,R02,South,Telangana,Hyderabad,P002,Technology,Smartphone,7.0,196786.1675,2023,2023Q1,2023-01-01
ORD0234,2023-02-03,R02,South,Tamil Nadu,Chennai,P010,Office Supplies,Notebook,6.0,2184.1,2023,2023Q1,2023-01-01
ORD0822,2023-02-03,R01,North,Uttar Pradesh,Lucknow,P008,Furniture,Office Desk,5.0,73405.14,2023,2023Q1,2023-01-01
ORD0865,2023-02-03,R04,West,Maharashtra,Mumbai,P011,Office Supplies,Pen Set,1.0,290.04,2023,2023Q1,2023-01-01
ORD0806,2023-02-06,R02,South,Kerala,Kochi,P010,Office Supplies,Notebook,6.0,2432.48,2023,2023Q1,2023-01-01
ORD0787,2023-02-07,R04,West,Gujarat,Ahmedabad,P008,Furniture,Office Desk,6.0,99276.05,2023,2023Q1,2023-01-01
ORD0821,2023-02-07,R03,East,Odisha,Bhubaneswar,P001,Technology,Laptop,2.0,107725.48,2023,2023Q1,2023-01-01
ORD0634,2023-02-08,R03,East,Bihar,Patna,P001,Technology,Laptop,7.0,196786.1675,2023,2023Q1,2023-01-01
ORD0015,2023-02-10,R02,South,Kerala,Kochi,P007,Furniture,Office Chair,1.0,9159.45,2023,2023Q1,2023-01-01
ORD0239,2023-02-10,R02,South,Karnataka,Bengaluru,P002,Technology,Smartphone,7.0,196786.1675,2023,2023Q1,2023-01-01
ORD0863,2023-02-10,R02,South,Telangana,Hyderabad,P010,Office Supplies,Notebook,5.0,1969.34,2023,2023Q1,2023-01-01
ORD0524,2023-02-15,R03,East,Odisha,Bhubaneswar,P003,Technology,Tablet,7.0,135188.09,2023,2023Q1,2023-01-01
ORD0050,2023-02-19,R03,East,Bihar,Patna,P011,Office Supplies,Pen Set,2.0,435.72,2023,2023Q1,2023-01-01
ORD0534,2023-02-19,R04,West,Gujarat,Ahmedabad,P012,Office Supplies,File Folder,4.0,790.82,2023,2023Q1,2023-01-01
ORD0377,2023-02-20,R04,West,Gujarat,Ahmedabad,P007,Furniture,Office Chair,6.0,58386.26,2023,2023Q1,2023-01-01
ORD0223,2023-02-21,R01,North,Haryana,Gurugram,P009,Furniture,Bookshelf,3.0,23777.86,2023,2023Q1,2023-01-01
ORD0637,2023-02-21,R02,South,Telangana,Hyderabad,P005,Technology,Keyboard,7.0,18057.35,2023,2023Q1,2023-01-01
ORD0861,2023-02-21,R02,South,Telangana,Hyderabad,P003,Technology,Tablet,1.0,23719.86,2023,2023Q1,2023-01-01
ORD0182,2023-02-26,R01,North,Haryana,Gurugram,P001,Technology,Laptop,2.0,121251.65,2023,2023Q1,2023-01-01
ORD0207,2023-02-26,R04,West,Maharashtra,Mumbai,P001,Technology,Laptop,5.0,196786.1675,2023,2023Q1,2023-01-01
ORD0543,2023-02-26,R02,South,Kerala,Kochi,P007,Furniture,Office Chair,3.0,28411.67,2023,2023Q1,2023-01-01
ORD0996,2023-02-27,R01,North,Punjab,Ludhiana,P006,Technology,Printer,5.0,60660.02,2023,2023Q1,2023-01-01
ORD0776,2023-03-01,R04,West,Maharashtra,Mumbai,P003,Technology,Tablet,7.0,177527.4,2023,2023Q1,2023-01-01
ORD0128,2023-03-03,R02,South,Tamil Nadu,Chennai,P002,Technology,Smartphone,1.0,33425.35,2023,2023Q1,2023-01-01
ORD0473,2023-03-03,R04,West,Goa,Panaji,P006,Technology,Printer,2.0,28810.49,2023,2023Q1,2023-01-01
ORD0420,2023-03-04,R03,East,Jharkhand,Ranchi,P006,Technology,Printer,7.0,80013.2,2023,2023Q1,2023-01-01
ORD0707,2023-03-04,R04,West,Goa,Panaji,P009,Furniture,Bookshelf,4.0,28679.57,2023,2023Q1,2023-01-01
ORD0439,2023-03-05,R04,West,Goa,Panaji,P010,Office Supplies,Notebook,3.0,1164.95,2023,2023Q1,2023-01-01
ORD0612,2023-03-05,R02,South,Telangana,Hyderabad,P007,Furniture,Office Chair,1.0,9790.51,2023,2023Q1,2023-01-01
ORD0608,2023-03-06,R03,East,Odisha,Bhubaneswar,P010,Office Supplies,Notebook,6.0,1999.69,2023,2023Q1,2023-01-01
ORD0399,2023-03-07,R04,West,Goa,Panaji,P005,Technology,Keyboard,6.0,17008.26,2023,2023Q1,2023-01-01
ORD0297,2023-03-08,R01,North,Delhi,New Delhi,P010,Office Supplies,Notebook,3.0,1197.26,2023,2023Q1,2023-01-01
ORD0438,2023-03-09,R02,South,Tamil Nadu,Chennai,P006,Technology,Printer,5.0,64923.22,2023,2023Q1,2023-01-01
ORD0442,2023-03-09,R01,North,Haryana,Gurugram,P001,Technology,Laptop,7.0,196786.1675,2023,2023Q1,2023-01-01
ORD0316,2023-03-10,R01,North,Delhi,New Delhi,P005,Technology,Keyboard,3.0,8481.57,2023,2023Q1,2023-01-01
ORD0490,2023-03-15,R03,East,Jharkhand,Ranchi,P001,Technology,Laptop,6.0,196786.1675,2023,2023Q1,2023-01-01
